id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
4625941,D15号线 鸟巢水立方干净舒适的大两居,23959915,Joyce,40.00004,116.37378,Entire home/apt,510,2,298
4640119,超值的巿中心公寓 Best Value Entire Flat@CBD,10772125,Albert,39.89326,116.43916,Entire home/apt,289,2,141
4731055,Ji House-Beijing courtyard老北京传统四合院,24430925,望山吉庆堂,39.94462,116.39474,Private room,691,1,328
4739385,钟鼓楼下平房小院,24467174,宇,39.94321,116.39707,Private room,262,7,0
4741091,Sweet home of the city centre ,22368389,荣,39.89532,116.30979,Entire home/apt,483,3,0
4746548,Traditional hutong courtyard house,22546717,Tong,39.92614,116.37634,Private room,570,1,361
4778028,北京东二环内+东单/灯市口/朝阳门地铁站旁边+简单,24533082,Winfay,39.91614,116.42817,Shared room,101,1,0
4795169,国贸CBD 精品服务 可长短租,19482030,爱民,39.91823,116.4535,Entire home/apt,597,1,365
4812705,Living with two trees,24787175,Liheng,40.00126,116.31614,Shared room,127,2,109
4825764,亦庄马驹桥最超值电梯高层自住新房两居 可改三居,21730766,Joe,39.75045,116.55947,Entire home/apt,342,1,0
4826078,【少年派】北京大兴团建轰趴聚会独栋花园别墅(美国南加州风格),24637235,剑波,39.63301,116.3257,Entire home/apt,3295,1,365
4827732,Zhoa-Cozy studio near subway,15855533,Zhoa,39.93842,116.43542,Entire home/apt,416,1,106
4850257,赶当家庇护小屋 坐落于西南二环国家话剧院的旁边,24955912,南,39.88849,116.3403,Private room,127,1,46
4857138,A Place You Can Call It Home,24987006,Leping&Jun,40.00201,116.46267,Private room,228,1,306
4864988,西山映像-兰悦 JOY Apartment(实景拍摄 紧邻健德门地铁､师大､北影､北航､奥体公园),22705046,Sun,39.97743,116.36298,Entire home/apt,248,2,356
4878955,"Near airport T1/2/3,apartment",22403478,Lu,40.03849,116.59473,Private room,208,1,74
4899894,Jinsi Courtyard in central Beijing2,23888364,Ji Chang,39.93633,116.38574,Private room,476,1,353
4911685,Big house with garden in Beijing ,25293004,Sophie,40.20904,116.72217,Entire home/apt,1134,2,361
4917080,798艺术区 798 Art Zone 舒适高层公寓 超赞视野,25323900,郑,39.98307,116.48557,Private room,208,1,353
4951287,"Lovely room in Wudaokou area, BLCU",17133104,婷Ting,39.99067,116.34227,Private room,228,1,363
4982247,北京外国语大学民宿旅游学习温馨的家Your home-like stay,20587694,Shuqun,39.95417,116.3105,Private room,336,1,319
4990531,[Orchid's #9] Big Private Hutong Residence!,25729513,Joel,39.94279,116.39908,Private room,1610,2,304
4995564,子轩的窝,25686494,子轩,40.15418,116.55011,Private room,228,1,0
4998951,Awesome one room apartment for rent,11964395,Hao,39.98785,116.47357,Entire home/apt,1342,1,0
5022725,homestay -CBD Beijing,25919151,Hannah,39.88776,116.46132,Private room,201,1,22
5032897,Boho Urban Sanctuary @ Sanlitun CBD,7562343,Yuan,39.92814,116.45772,Entire home/apt,376,1,81
5063347,luxurious room near Metro/  CBD,18369049,Christin,39.88725,116.4683,Private room,161,3,0
5071177,Traditional hutong courtyard house,22546717,Tong,39.92575,116.37613,Private room,268,1,95
5087466,高档小区高层住房,26281018,安生,40.02807,116.3377,Entire home/apt,302,15,198
5101112,Family travel cottage 怀北滑雪场别墅区,23433047,Doris,40.28642,116.63912,Private room,268,1,365
5135190,Loft in a Kids Art/Animation Studio,12538290,Sibylla,39.9482,116.40333,Shared room,235,2,124
5137146,北京豪雅酒店公寓(世界城店),26561111,式冬,39.9183,116.453,Entire home/apt,651,1,364
