listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
5101112,2019-08-22,t,$350.00,$350.00,1.0,300.0
5101112,2019-06-20,t,$350.00,$350.00,1.0,300.0
5135190,2019-10-15,f,$238.00,$238.00,2.0,30.0
5135190,2019-06-03,f,$238.00,$238.00,2.0,30.0
5137146,2019-07-27,t,$650.00,$650.00,1.0,1125.0
5137146,2020-02-13,t,$650.00,$650.00,1.0,1125.0
5138122,2019-04-24,t,$80.00,$80.00,1.0,1125.0
5138122,2019-12-10,t,$135.00,$135.00,1.0,1125.0
5149320,2020-03-01,t,$388.00,$388.00,1.0,1125.0
5149320,2020-02-16,t,$388.00,$388.00,1.0,1125.0
5257726,2019-09-13,f,$800.00,$800.00,4.0,1125.0
5257726,2019-04-30,f,$800.00,$800.00,4.0,1125.0
5257727,2019-12-22,f,$720.00,$720.00,360.0,1125.0
5257727,2019-08-19,f,$720.00,$720.00,360.0,1125.0
5262411,2019-08-14,t,$418.00,$418.00,1.0,1125.0
5262411,2020-03-14,t,$422.00,$422.00,1.0,1125.0
5281548,2020-03-17,f,$218.00,$218.00,1.0,1125.0
5281548,2020-03-10,f,$218.00,$218.00,1.0,1125.0
5313865,2020-03-17,t,$419.00,$419.00,1.0,1125.0
5313865,2020-01-04,t,$419.00,$419.00,1.0,1125.0
5320059,2020-03-03,f,$567.00,$567.00,1.0,90.0
5320059,2020-04-04,f,$668.00,$668.00,1.0,90.0
5354823,2019-07-19,t,$1007.00,$1007.00,30.0,60.0
